old parser:अ	(set! wordstruct '( (( "a" ) 0) ))	
new parser:राइटर	(set! wordstruct '( (( "r" "aa" ) 0) (( "i" "tx" ) 0) (( "r" "a" ) 0) ))
old parser:रामपरसाद	(set! wordstruct '( (( "r" "aa" "m" ) 0) (( "p" "a" "r" ) 0) (( "s" "aa" "d" ) 0) ))
new parser:रामपरसाद	(set! wordstruct '( (( "r" "aa" "m" ) 0) (( "p" "a" "r" ) 0) (( "s" "aa" ) 0) (( "d" "a" ) 0) ))
old parser:रावलपिंडी	(set! wordstruct '( (( "r" "aa" "w" ) 0) (( "l" "a" ) 0) (( "p" "i" "q" ) 0) (( "dx" "ii" ) 0) ))
new parser:रावलपिंडी	(set! wordstruct '( (( "r" "aa" ) 0) (( "w" "a" "l" ) 0) (( "p" "i" "q" ) 0) (( "dx" "ii" ) 0) ))
old parser:रोशनदानों	(set! wordstruct '( (( "r" "o" "sh" ) 0) (( "n" "a" ) 0) (( "d" "aa" ) 0) (( "n" "o" "q" ) 0) ))
new parser:रोशनदानों	(set! wordstruct '( (( "r" "o" ) 0) (( "sh" "a" "n" ) 0) (( "d" "aa" ) 0) (( "n" "o" "q" ) 0) ))
old parser:रौशनदान	(set! wordstruct '( (( "r" "ou" "sh" ) 0) (( "n" "a" ) 0) (( "d" "aa" "n" ) 0) ))
new parser:रौशनदान	(set! wordstruct '( (( "r" "ou" ) 0) (( "sh" "a" "n" ) 0) (( "d" "aa" "n" ) 0) ))
old parser:लक्षण	(set! wordstruct '( (( "l" "a" "k" ) 0) (( "sx" "a" "nx" ) 0) ))
new parser:लक्षण	(set! wordstruct '( (( "l" "a" "k" "sx" ) 0) (( "nx" "a" ) 0) ))
old parser:लखनऊ	(set! wordstruct '( (( "l" "a" "kh" ) 0) (( "n" "a" ) 0) (( "uu" ) 0) ))
new parser:लखनऊ	(set! wordstruct '( (( "l" "a" ) 0) (( "kh" "a" "n" ) 0) (( "uu" ) 0) ))
old parser:लगभग	(set! wordstruct '( (( "l" "a" "g" ) 0) (( "bh" "a" "g" ) 0) ))
new parser:लगभग	(set! wordstruct '( (( "l" "a" ) 0) (( "g" "a" "bh" ) 0) (( "g" "a" ) 0) ))
old parser:लापरवाही	(set! wordstruct '( (( "l" "aa" "p" ) 0) (( "r" "a" ) 0) (( "w" "aa" ) 0) (( "h" "ii" ) 0) ))
new parser:लापरवाही	(set! wordstruct '( (( "l" "aa" ) 0) (( "p" "a" "r" ) 0) (( "w" "aa" ) 0) (( "h" "ii" ) 0) ))
old parser:लालकेश्वर	(set! wordstruct '( (( "l" "aa" "l" ) 0) (( "k" "ee" "sh" ) 0) (( "w" "a" "r" ) 0) ))
new parser:लालकेश्वर	(set! wordstruct '( (( "l" "aa" "l" ) 0) (( "k" "ee" ) 0) (( "sh" "w" "a" "r" ) 0) ))
old parser:वगैरह	(set! wordstruct '( (( "w" "a" ) 0) (( "g" "ei" ) 0) (( "r" "a" "h" ) 0) ))
new parser:वगैरह	(set! wordstruct '( (( "w" "a" ) 0) (( "g" "ei" "r" ) 0) (( "h" "a" ) 0) ))
old parser:वज्रदष्ट	(set! wordstruct '( (( "w" "a" "j" ) 0) (( "r" "a" ) 0) (( "d" "a" "sx" "tx" ) 0) ))
new parser:वज्रदष्ट	(set! wordstruct '( (( "w" "a" "j" "r" ) 0) (( "d" "a" "sx" "tx" ) 0) ))
old parser:वत्सलता	(set! wordstruct '( (( "w" "a" "t" ) 0) (( "s" "a" "l" ) 0) (( "t" "aa" ) 0) ))
new parser:वत्सलता	(set! wordstruct '( (( "w" "a" "t" "s" ) 0) (( "l" "a" ) 0) (( "t" "aa" ) 0) ))
old parser:वर्णन	(set! wordstruct '( (( "w" "a" "r" ) 0) (( "nx" "a" "n" ) 0) ))
new parser:वर्णन	(set! wordstruct '( (( "w" "a" "r" "nx" ) 0) (( "n" "a" ) 0) ))
old parser:वर्णमाला	(set! wordstruct '( (( "w" "a" "r" ) 0) (( "nx" "a" ) 0) (( "m" "aa" ) 0) (( "l" "aa" ) 0) ))
new parser:वर्णमाला	(set! wordstruct '( (( "w" "a" "r" "nx" ) 0) (( "m" "aa" ) 0) (( "l" "aa" ) 0) ))
old parser:वर्तन	(set! wordstruct '( (( "w" "a" "r" ) 0) (( "t" "a" "n" ) 0) ))
new parser:वर्तन	(set! wordstruct '( (( "w" "a" "r" "t" ) 0) (( "n" "a" ) 0) ))
old parser:वर्तमान	(set! wordstruct '( (( "w" "a" "r" ) 0) (( "t" "a" ) 0) (( "m" "aa" "n" ) 0) ))
new parser:वर्तमान	(set! wordstruct '( (( "w" "a" "r" "t" ) 0) (( "m" "aa" "n" ) 0) ))
old parser:वर्षगांठों	(set! wordstruct '( (( "w" "a" "r" ) 0) (( "sx" "a" ) 0) (( "g" "aa" "q" ) 0) (( "txh" "o" "q" ) 0) ))
new parser:वर्षगांठों	(set! wordstruct '( (( "w" "a" "r" "sx" ) 0) (( "g" "aa" "q" ) 0) (( "txh" "o" "q" ) 0) ))
old parser:वसंतराज	(set! wordstruct '( (( "w" "a" ) 0) (( "s" "a" "q" ) 0) (( "t" "a" ) 0) (( "r" "aa" "j" ) 0) ))
new parser:वसंतराज	(set! wordstruct '( (( "w" "a" ) 0) (( "s" "a" "q" "t" ) 0) (( "r" "aa" "j" ) 0) ))
old parser:वातावरण	(set! wordstruct '( (( "w" "aa" ) 0) (( "t" "aa" "w" ) 0) (( "r" "a" "nx" ) 0) ))
new parser:वातावरण	(set! wordstruct '( (( "w" "aa" ) 0) (( "t" "aa" ) 0) (( "w" "a" ) 0) (( "r" "a" "nx" ) 0) ))
old parser:वायरलैस	(set! wordstruct '( (( "w" "aa" "y" ) 0) (( "r" "a" ) 0) (( "l" "ei" "s" ) 0) ))
new parser:वायरलैस	(set! wordstruct '( (( "w" "aa" ) 0) (( "y" "a" "r" ) 0) (( "l" "ei" "s" ) 0) ))
old parser:वायरस	(set! wordstruct '( (( "w" "aa" "y" ) 0) (( "r" "a" "s" ) 0) ))
new parser:वायरस	(set! wordstruct '( (( "w" "aa" ) 0) (( "y" "a" "r" ) 0) (( "s" "a" ) 0) ))
old parser:विघ्नेश्वर	(set! wordstruct '( (( "w" "i" "gh" ) 0) (( "n" "ee" "sh" ) 0) (( "w" "a" "r" ) 0) ))
new parser:विघ्नेश्वर	(set! wordstruct '( (( "w" "i" "gh" ) 0) (( "n" "ee" ) 0) (( "sh" "w" "a" "r" ) 0) ))
old parser:विजयन	(set! wordstruct '( (( "w" "i" "j" ) 0) (( "y" "a" "n" ) 0) ))
new parser:विजयन	(set! wordstruct '( (( "w" "i" ) 0) (( "j" "a" "y" ) 0) (( "n" "a" ) 0) ))
old parser:वितरण	(set! wordstruct '( (( "w" "i" "t" ) 0) (( "r" "a" "nx" ) 0) ))
new parser:वितरण	(set! wordstruct '( (( "w" "i" ) 0) (( "t" "a" "r" ) 0) (( "nx" "a" ) 0) ))
old parser:विलक्षण	(set! wordstruct '( (( "w" "i" ) 0) (( "l" "a" "k" ) 0) (( "sx" "a" "nx" ) 0) ))
new parser:विलक्षण	(set! wordstruct '( (( "w" "i" ) 0) (( "l" "a" "k" "sx" ) 0) (( "nx" "a" ) 0) ))
old parser:विवरण	(set! wordstruct '( (( "w" "i" "w" ) 0) (( "r" "a" "nx" ) 0) ))
new parser:विवरण	(set! wordstruct '( (( "w" "i" ) 0) (( "w" "a" ) 0) (( "r" "a" "nx" ) 0) ))
old parser:विवरणों	(set! wordstruct '( (( "w" "i" "w" ) 0) (( "r" "a" ) 0) (( "nx" "o" "q" ) 0) ))
new parser:विवरणों	(set! wordstruct '( (( "w" "i" ) 0) (( "w" "a" "r" ) 0) (( "nx" "o" "q" ) 0) ))
old parser:विषमताएं	(set! wordstruct '( (( "w" "i" "sx" ) 0) (( "m" "a" ) 0) (( "t" "aa" ) 0) (( "ee" "q" ) 0) ))
new parser:विषमताएं	(set! wordstruct '( (( "w" "i" ) 0) (( "sx" "a" "m" ) 0) (( "t" "aa" ) 0) (( "ee" "q" ) 0) ))
old parser:वेलॅ	(set! wordstruct '( (( "w" "ee" ) 0) (( "l" "ae" ) 0) ))
new parser:वेलॅ	(set! wordstruct '( (( "w" "ee" ) 0) (( "l" "a" ) 0) (( "e" ) 0) ))
old parser:व्हाइट	(set! wordstruct '( (( "w" "h" "aa" ) 0) (( "i" "tx" ) 0) ))
new parser:व्हाइट	(set! wordstruct '( (( "w" "a" ) 0) (( "h" "aa" ) 0) (( "i" "tx" ) 0) ))
old parser:शंकरन	(set! wordstruct '( (( "sh" "a" "q" ) 0) (( "k" "a" ) 0) (( "r" "a" "n" ) 0) ))
new parser:शंकरन	(set! wordstruct '( (( "sh" "a" "q" ) 0) (( "k" "a" "r" ) 0) (( "n" "a" ) 0) ))
old parser:शटरम	(set! wordstruct '( (( "sh" "a" "tx" ) 0) (( "r" "a" "m" ) 0) ))
new parser:शटरम	(set! wordstruct '( (( "sh" "a" ) 0) (( "tx" "a" "r" ) 0) (( "m" "a" ) 0) ))
old parser:शरणम	(set! wordstruct '( (( "sh" "a" "r" ) 0) (( "nx" "a" "m" ) 0) ))
new parser:शरणम	(set! wordstruct '( (( "sh" "a" ) 0) (( "r" "a" "nx" ) 0) (( "m" "a" ) 0) ))
old parser:शरणम्	(set! wordstruct '( (( "sh" "a" "r" ) 0) (( "nx" "a" "m" ) 0) ))
new parser:शरणम्	(set! wordstruct '( (( "sh" "a" ) 0) (( "r" "a" "nx" ) 0) (( "m" "a" ) 0) ))
old parser:शृंगीश्वर	(set! wordstruct '( (( "sh" "rq" "q" ) 0) (( "g" "ii" "sh" ) 0) (( "w" "a" "r" ) 0) ))
new parser:शृंगीश्वर	(set! wordstruct '( (( "sh" "rq" "q" ) 0) (( "g" "ii" ) 0) (( "sh" "w" "a" "r" ) 0) ))
old parser:शोधकर्ता	(set! wordstruct '( (( "sh" "o" "dh" ) 0) (( "k" "a" "r" ) 0) (( "t" "aa" ) 0) ))
new parser:शोधकर्ता	(set! wordstruct '( (( "sh" "o" ) 0) (( "dh" "a" "k" ) 0) (( "r" "t" "aa" ) 0) ))
old parser:श्रीनगर	(set! wordstruct '( (( "sh" "r" "ii" "n" ) 0) (( "g" "a" "r" ) 0) ))
new parser:श्रीनगर	(set! wordstruct '( (( "sh" "r" "ii" ) 0) (( "n" "a" ) 0) (( "g" "a" "r" ) 0) ))
old parser:संग्रह	(set! wordstruct '( (( "s" "a" "q" "g" ) 0) (( "r" "a" "h" ) 0) ))
new parser:संग्रह	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "g" "r" "a" "h" ) 0) ))
old parser:संचयन	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "c" "a" ) 0) (( "y" "a" "n" ) 0) ))
new parser:संचयन	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "c" "a" "y" ) 0) (( "n" "a" ) 0) ))
old parser:संभलतीं	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "bh" "a" ) 0) (( "l" "a" ) 0) (( "t" "ii" "q" ) 0) ))
new parser:संभलतीं	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "bh" "a" "l" ) 0) (( "t" "ii" "q" ) 0) ))
old parser:संभवतः	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "bh" "a" "w" ) 0) (( "t" "a" "hq" ) 0) ))
new parser:संभवतः	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "bh" "a" "w" ) 0) (( "t" "hq" "a" ) 0) ))
old parser:संभालकर	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "bh" "aa" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:संभालकर	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "bh" "aa" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:संरचनाओं	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "r" "a" ) 0) (( "c" "a" ) 0) (( "n" "aa" ) 0) (( "o" "q" ) 0) ))
new parser:संरचनाओं	(set! wordstruct '( (( "s" "a" "q" ) 0) (( "r" "a" "c" ) 0) (( "n" "aa" ) 0) (( "o" "q" ) 0) ))
old parser:सत्रह	(set! wordstruct '( (( "s" "a" "t" ) 0) (( "r" "a" "h" ) 0) ))
new parser:सत्रह	(set! wordstruct '( (( "s" "a" "t" "r" ) 0) (( "h" "a" ) 0) ))
old parser:सदाबहार	(set! wordstruct '( (( "s" "a" ) 0) (( "d" "aa" "b" ) 0) (( "h" "aa" "r" ) 0) ))
new parser:सदाबहार	(set! wordstruct '( (( "s" "a" ) 0) (( "d" "aa" ) 0) (( "b" "a" ) 0) (( "h" "aa" "r" ) 0) ))
old parser:सफलतापूर्वक	(set! wordstruct '( (( "s" "a" "ph" ) 0) (( "l" "a" ) 0) (( "t" "aa" ) 0) (( "p" "uu" "r" ) 0) (( "w" "a" "k" ) 0) ))
new parser:सफलतापूर्वक	(set! wordstruct '( (( "s" "a" ) 0) (( "ph" "a" "l" ) 0) (( "t" "aa" ) 0) (( "p" "uu" "r" ) 0) (( "w" "a" "k" ) 0) ))
old parser:सरकार	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "k" "aa" "r" ) 0) ))
new parser:सरकार	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "k" "aa" ) 0) (( "r" "a" ) 0) ))
old parser:सरबत	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "b" "a" "t" ) 0) ))
new parser:सरबत	(set! wordstruct '( (( "s" "a" ) 0) (( "r" "a" "b" ) 0) (( "t" "a" ) 0) ))
old parser:सरलताओं	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "l" "a" ) 0) (( "t" "aa" ) 0) (( "o" "q" ) 0) ))
new parser:सरलताओं	(set! wordstruct '( (( "s" "a" ) 0) (( "r" "a" "l" ) 0) (( "t" "aa" ) 0) (( "o" "q" ) 0) ))
old parser:सरासर	(set! wordstruct '( (( "s" "a" ) 0) (( "r" "aa" ) 0) (( "s" "a" "r" ) 0) ))
new parser:सरासर	(set! wordstruct '( (( "s" "a" ) 0) (( "r" "aa" "s" ) 0) (( "r" "a" ) 0) ))
old parser:सर्वत्र	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "w" "a" "t" "r" ) 0) ))
new parser:सर्वत्र	(set! wordstruct '( (( "s" "a" "r" "w" ) 0) (( "t" "r" "a" ) 0) ))
old parser:सर्वथा	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "w" "a" ) 0) (( "th" "aa" ) 0) ))
new parser:सर्वथा	(set! wordstruct '( (( "s" "a" "r" "w" ) 0) (( "th" "aa" ) 0) ))
old parser:सर्वप्रिय	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "w" "a" "p" ) 0) (( "r" "i" "y" ) 0) ))
new parser:सर्वप्रिय	(set! wordstruct '( (( "s" "a" "r" "w" ) 0) (( "p" "r" "i" "y" ) 0) ))
old parser:सर्वमान्य	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "w" "a" ) 0) (( "m" "aa" "n" "y" ) 0) ))
new parser:सर्वमान्य	(set! wordstruct '( (( "s" "a" "r" "w" ) 0) (( "m" "aa" "n" "y" ) 0) ))
old parser:सर्वर	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "w" "a" "r" ) 0) ))
new parser:सर्वर	(set! wordstruct '( (( "s" "a" "r" "w" ) 0) (( "r" "a" ) 0) ))
old parser:सर्वश्रेष्ठ	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "w" "a" "sh" ) 0) (( "r" "ee" "sx" "txh" ) 0) ))
new parser:सर्वश्रेष्ठ	(set! wordstruct '( (( "s" "a" "r" "w" ) 0) (( "sh" "r" "ee" "sx" "txh" ) 0) ))
old parser:सर्वहारा	(set! wordstruct '( (( "s" "a" "r" ) 0) (( "w" "a" ) 0) (( "h" "aa" ) 0) (( "r" "aa" ) 0) ))
new parser:सर्वहारा	(set! wordstruct '( (( "s" "a" "r" "w" ) 0) (( "h" "aa" ) 0) (( "r" "aa" ) 0) ))
old parser:सलमान	(set! wordstruct '( (( "s" "a" "l" ) 0) (( "m" "aa" "n" ) 0) ))
new parser:सलमान	(set! wordstruct '( (( "s" "a" "l" ) 0) (( "m" "aa" ) 0) (( "n" "a" ) 0) ))
old parser:सलामत	(set! wordstruct '( (( "s" "a" ) 0) (( "l" "aa" ) 0) (( "m" "a" "t" ) 0) ))
new parser:सलामत	(set! wordstruct '( (( "s" "a" ) 0) (( "l" "aa" "m" ) 0) (( "t" "a" ) 0) ))
old parser:सल्फ़र	(set! wordstruct '( (( "s" "a" "l" ) 0) (( "f" "a" "r" ) 0) ))
new parser:सल्फ़र	(set! wordstruct '( (( "s" "a" "l" "f" ) 0) (( "r" "a" ) 0) ))
old parser:सशरीर	(set! wordstruct '( (( "s" "a" "sh" ) 0) (( "r" "ii" "r" ) 0) ))
new parser:सशरीर	(set! wordstruct '( (( "s" "a" ) 0) (( "sh" "a" ) 0) (( "r" "ii" "r" ) 0) ))
old parser:सहायक	(set! wordstruct '( (( "s" "a" ) 0) (( "h" "aa" ) 0) (( "y" "a" "k" ) 0) ))
new parser:सहायक	(set! wordstruct '( (( "s" "a" ) 0) (( "h" "aa" "y" ) 0) (( "k" "a" ) 0) ))
old parser:सिद्धाश्रम	(set! wordstruct '( (( "s" "i" "d" ) 0) (( "dh" "aa" "sh" ) 0) (( "r" "a" "m" ) 0) ))
new parser:सिद्धाश्रम	(set! wordstruct '( (( "s" "i" "d" ) 0) (( "dh" "aa" ) 0) (( "sh" "r" "a" "m" ) 0) ))
old parser:सुदर्शन	(set! wordstruct '( (( "s" "u" ) 0) (( "d" "a" "r" ) 0) (( "sh" "a" "n" ) 0) ))
new parser:सुदर्शन	(set! wordstruct '( (( "s" "u" ) 0) (( "d" "a" "r" "sh" ) 0) (( "n" "a" ) 0) ))
old parser:सुपरस्टार	(set! wordstruct '( (( "s" "u" "p" ) 0) (( "r" "a" "s" ) 0) (( "tx" "aa" "r" ) 0) ))
new parser:सुपरस्टार	(set! wordstruct '( (( "s" "u" ) 0) (( "p" "a" "r" ) 0) (( "s" "tx" "aa" "r" ) 0) ))
old parser:सुपरहिट	(set! wordstruct '( (( "s" "u" "p" ) 0) (( "r" "a" ) 0) (( "h" "i" "tx" ) 0) ))
new parser:सुपरहिट	(set! wordstruct '( (( "s" "u" ) 0) (( "p" "a" "r" ) 0) (( "h" "i" "tx" ) 0) ))
old parser:सॉफ्टवेयर	(set! wordstruct '( (( "s" "ax" "ph" ) 0) (( "tx" "a" ) 0) (( "w" "ee" ) 0) (( "y" "a" "r" ) 0) ))
new parser:सॉफ्टवेयर	(set! wordstruct '( (( "s" "ax" "ph" "tx" ) 0) (( "w" "ee" ) 0) (( "y" "a" "r" ) 0) ))
old parser:सॉफ़्टवेयर	(set! wordstruct '( (( "s" "ax" "f" ) 0) (( "tx" "a" ) 0) (( "w" "ee" ) 0) (( "y" "a" "r" ) 0) ))
new parser:सॉफ़्टवेयर	(set! wordstruct '( (( "s" "ax" "f" "tx" ) 0) (( "w" "ee" ) 0) (( "y" "a" "r" ) 0) ))
old parser:सोचकर	(set! wordstruct '( (( "s" "o" "c" ) 0) (( "k" "a" "r" ) 0) ))
new parser:सोचकर	(set! wordstruct '( (( "s" "o" ) 0) (( "c" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:स्कालरशिप	(set! wordstruct '( (( "s" "k" "aa" "l" ) 0) (( "r" "a" ) 0) (( "sh" "i" "p" ) 0) ))
new parser:स्कालरशिप	(set! wordstruct '( (( "s" "a" ) 0) (( "k" "aa" ) 0) (( "l" "a" "r" ) 0) (( "sh" "i" "p" ) 0) ))
old parser:स्तरहीन	(set! wordstruct '( (( "s" "t" "a" ) 0) (( "r" "a" ) 0) (( "h" "ii" "n" ) 0) ))
new parser:स्तरहीन	(set! wordstruct '( (( "s" "t" "a" "r" ) 0) (( "h" "ii" "n" ) 0) ))
old parser:स्पर्श	(set! wordstruct '( (( "s" "p" "a" "r" "sh" ) 0) ))
new parser:स्पर्श	(set! wordstruct '( (( "s" "a" ) 0) (( "p" "a" "r" "sh" ) 0) ))
old parser:स्वतन्त्र	(set! wordstruct '( (( "s" "w" "a" ) 0) (( "t" "a" "n" "t" "r" ) 0) ))
new parser:स्वतन्त्र	(set! wordstruct '( (( "s" "w" "a" "t" ) 0) (( "n" "t" "r" "a" ) 0) ))
old parser:स्वराज	(set! wordstruct '( (( "s" "w" "a" ) 0) (( "r" "aa" "j" ) 0) ))
new parser:स्वराज	(set! wordstruct '( (( "s" "a" ) 0) (( "w" "a" ) 0) (( "r" "aa" "j" ) 0) ))
old parser:स्वर्ग	(set! wordstruct '( (( "s" "w" "a" "r" "g" ) 0) ))
new parser:स्वर्ग	(set! wordstruct '( (( "s" "a" ) 0) (( "w" "a" "r" "g" ) 0) ))
old parser:स्वर्गवास	(set! wordstruct '( (( "s" "w" "a" "r" ) 0) (( "g" "a" ) 0) (( "w" "aa" "s" ) 0) ))
new parser:स्वर्गवास	(set! wordstruct '( (( "s" "a" ) 0) (( "w" "a" "r" "g" ) 0) (( "w" "aa" "s" ) 0) ))
old parser:स्वर्ण	(set! wordstruct '( (( "s" "w" "a" "r" "nx" ) 0) ))
new parser:स्वर्ण	(set! wordstruct '( (( "s" "a" ) 0) (( "w" "a" "r" "nx" ) 0) ))
old parser:स्वर्णरेखा	(set! wordstruct '( (( "s" "w" "a" "r" ) 0) (( "nx" "a" ) 0) (( "r" "ee" ) 0) (( "kh" "aa" ) 0) ))
new parser:स्वर्णरेखा	(set! wordstruct '( (( "s" "a" ) 0) (( "w" "a" "r" "nx" ) 0) (( "r" "ee" ) 0) (( "kh" "aa" ) 0) ))
old parser:स्वाइप	(set! wordstruct '( (( "s" "w" "aa" ) 0) (( "i" "p" ) 0) ))
new parser:स्वाइप	(set! wordstruct '( (( "s" "a" ) 0) (( "w" "aa" ) 0) (( "i" "p" ) 0) ))
old parser:स्वेटर	(set! wordstruct '( (( "s" "w" "ee" ) 0) (( "tx" "a" "r" ) 0) ))
new parser:स्वेटर	(set! wordstruct '( (( "s" "a" ) 0) (( "w" "ee" ) 0) (( "tx" "a" "r" ) 0) ))
old parser:हमलावरों	(set! wordstruct '( (( "h" "a" "m" ) 0) (( "l" "aa" "w" ) 0) (( "r" "o" "q" ) 0) ))
new parser:हमलावरों	(set! wordstruct '( (( "h" "a" "m" ) 0) (( "l" "aa" ) 0) (( "w" "a" ) 0) (( "r" "o" "q" ) 0) ))
old parser:हरदीप	(set! wordstruct '( (( "h" "a" "r" ) 0) (( "d" "ii" "p" ) 0) ))
new parser:हरदीप	(set! wordstruct '( (( "h" "a" "r" ) 0) (( "d" "ii" ) 0) (( "p" "a" ) 0) ))
old parser:हरवाल	(set! wordstruct '( (( "h" "a" "r" ) 0) (( "w" "aa" "l" ) 0) ))
new parser:हरवाल	(set! wordstruct '( (( "h" "a" "r" ) 0) (( "w" "aa" ) 0) (( "l" "a" ) 0) ))
old parser:हस्तक्शेप	(set! wordstruct '( (( "h" "a" "s" ) 0) (( "t" "a" "k" ) 0) (( "sh" "ee" "p" ) 0) ))
new parser:हस्तक्शेप	(set! wordstruct '( (( "h" "a" "s" "t" ) 0) (( "k" "sh" "ee" "p" ) 0) ))
old parser:हस्तलिपि	(set! wordstruct '( (( "h" "a" "s" ) 0) (( "t" "a" ) 0) (( "l" "i" ) 0) (( "p" "i" ) 0) ))
new parser:हस्तलिपि	(set! wordstruct '( (( "h" "a" "s" "t" ) 0) (( "l" "i" ) 0) (( "p" "i" ) 0) ))
old parser:हृदयनाथ	(set! wordstruct '( (( "h" "rq" "d" ) 0) (( "y" "a" ) 0) (( "n" "aa" "th" ) 0) ))
new parser:हृदयनाथ	(set! wordstruct '( (( "h" "rq" ) 0) (( "d" "a" "y" ) 0) (( "n" "aa" "th" ) 0) ))
old parser:ख़ासकर	(set! wordstruct '( (( "khq" "aa" "s" ) 0) (( "k" "a" "r" ) 0) ))
new parser:ख़ासकर	(set! wordstruct '( (( "khq" "aa" ) 0) (( "s" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:ज़रूरत	(set! wordstruct '( (( "z" "a" ) 0) (( "r" "uu" ) 0) (( "r" "a" "t" ) 0) ))
new parser:ज़रूरत	(set! wordstruct '( (( "z" "a" ) 0) (( "r" "uu" "r" ) 0) (( "t" "a" ) 0) ))
old parser:फ़्लाइट	(set! wordstruct '( (( "f" "l" "aa" ) 0) (( "i" "tx" ) 0) ))
new parser:फ़्लाइट	(set! wordstruct '( (( "f" "a" ) 0) (( "l" "aa" ) 0) (( "i" "tx" ) 0) ))
old parser:अंतरराष्ट्रीय	(set! wordstruct '( (( "a" "q" "t" ) 0) (( "r" "a" ) 0) (( "r" "aa" "sx" "tx" ) 0) (( "r" "ii" "y" ) 0) ))
new parser:अंतरराष्ट्रीय	(set! wordstruct '( (( "a" "q" ) 0) (( "t" "a" "r" ) 0) (( "r" "aa" "sx" "tx" ) 0) (( "r" "ii" "y" ) 0) ))
old parser:उत्सर्जक	(set! wordstruct '( (( "u" "t" ) 0) (( "s" "a" "r" ) 0) (( "j" "a" "k" ) 0) ))
new parser:उत्सर्जक	(set! wordstruct '( (( "u" "t" ) 0) (( "s" "a" "r" "j" ) 0) (( "k" "a" ) 0) ))
old parser:उपलब्ध	(set! wordstruct '( (( "u" "p" ) 0) (( "l" "a" "b" "dh" ) 0) ))
new parser:उपलब्ध	(set! wordstruct '( (( "u" ) 0) (( "p" "a" "l" ) 0) (( "b" "dh" "a" ) 0) ))
